Câu số,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
188,"Câu 190: Tham số size trong hàm int MPI_Comm_size( MPI_Comm comm, int *size) dùng để:
Xác định số lượng tiến trình trong 1 bộ truyền thông
Xác định số lượng bộ xử lý
Xếp hạng của từng bộ xử lý
Xác định số lượng bộ xử lý trong 1 bộ truyền thông",,,,,Đáp án: a
189,"Câu 191:  Hàm int MPI_Finalize() được gọi khi:
Kết thúc của tất cả tiến trình
Kết thúc việc truyền thông
Ở cuối mỗi chương trình
Kết thúc của mỗi tiến trình",,,,,Đáp án: a
190,"Câu 192:  Sau khi hàm MPI_Finalize() được thực thi:
Các lời gọi MPI xa bị cấm
Có thể khởi tạo lại bộ truyền thông bằng lời gọi MPI_Init()
Kết thúc chương trình
Tất cả đều đúng",,,,,Đáp án: a
191,"Câu 193: Để biên dịch chương trình MPI từ dòng lệnh, ta chạy lệnh nào?
mpic++ mpi_hello.cpp –o mpi_hello
mpicompiler mpi_hello.cpp –o mpi_hello
mpic mpi_hello.cpp –o mpi_hello
mpic++ mpi_hello.cpp",,,,,Đáp án: a
192,"Câu 194:  Để thực thi chương trình MPI hello từ dòng lệnh, ta chạy lệnh nào?
mpiexec –np <số bộ xử lý> mpi_hello
mpirun –np <số bộ xử lý> mpi_hello
mpiexec –np mpi_hello
mpirun –np 3 mpi_hello",,,,,Đáp án: a
193,"Câu 195:  Khi biên dịch chương trình MPI trong Visual C, lỗi gặp phải sau đây là lỗi nào?
Chưa khai báo sử dụng thư viện trong chương trình
Thiếu thư viện
Lỗi cú pháp
Trình biên dịch không tìm thấy thư viện phù hợp",,,,,Đáp án: a
194,"Câu 196: Khi biên dịch chương trình MPI trong Visual C, lỗi gặp phải sau đây là lỗi nào?
Chưa khai báo tên thư viện .lib hoặc .dll trong chương trình
Lỗi cú pháp
Không tìm thấy thư viện cần thiết
Trình biên dịch không tìm thấy thư viện phù hợp",,,,,Đáp án: a
195,"Câu 197: Để thêm thư viện vào trong chương trình MPI trong Visual C, ta phải vào mục nào?
Tools/Options/Directories
Tools/Options/Link
Project/Settings/Link
Project/Settings/Object Modules",,,,,Đáp án: a
196,"Câu 198: Để thêm 1 thư viện .lib vào trong chương trình MPI trong Visual C, ta phải vào mục nào?
Project/Settings/Link/Object & library Modules
Project Settings/Object Modules
Project/Settings/Link
Project/Setting/Add Library",,,,,Đáp án: a
197,"Câu 199:  Chương trình sau dùng để làm gì?
Đăng ký tài khoản Administrator với bộ truyền thông MPI
Đăng ký 1 tài khoản với hệ thống
Đăng ký tài khoản Administrator với hệ thống
Lấy thông tin đăng nhập tài khoản Administrator",,,,,Đáp án: a
198,"Câu 200:  Chương trình cấu hình MPICH2 sau khi chạy và bấm Get Settings:
Không thành công, tên máy chưa chuyển thành màu xanh lá cây
Thành công, đã lấy được tên máy là son-pc
Hiển thị tất cả các thông số thiết lập cho máy son-pc để chạy MPI
Chỉ lấy ra được tên máy son-pc",,,,,Đáp án: a
199,"Câu 201:  Chương trình thực thi MPI với ô checkbox được đánh dấu như sau dùng để làm gì?
Để các tiến trình chạy trên các cửa sổ độc lập với nhau
Để chạy bình thường trong cửa sổ
Để các tiến trình chạy trên các cửa sổ command prompt độc lập với nhau
Không câu nào đúng",,,,,Đáp án: a
200,"Câu 202: Sau khi cài đặt xong, đường dẫn tới thư mục chứa các chương trình thực thi MPI là:
[đường dẫn]\MPICH2\bin
[đường dẫn]\MPICH2\include
C:\MPICH2\bin
C:\MPICH2\include",,,,,Đáp án: a
201,"Câu 203:  Sau khi cài đặt xong, thư mục chứa các thư viện MPI là:
[đường dẫn]\MPICH2\lib
[đường dẫn]\MPICH2\bin
C:\MPICH2\lib
C:\MPICH2\include",,,,,Đáp án: a
202,"Câu 204:  Sau khi cài đặt xong, thư mục chứa các file header phục vụ cho chương trình MPI là:
include
bin
lib
examples",,,,,Đáp án: a
203,"Câu 205:  Để thiết lập mật khẩu cho tài khoản Administrator trong WindowsXP, ta làm thế nào?
Click chuột phải lên My Computer, Manage/Local Users and Groups, chọn Administrator, click chuột phải chọn Set Password
Click chuột phải lên My Computer, Manage/Local Users and Groups, chọn Administrator, Set Password
Mật khẩu mặc định không cần chọn
Không câu nào đúng",,,,,Đáp án: a
204,"Câu 206:  Sau khi biên dịch xong chương trình MPI trong Visual C, muốn chạy nó ta phải bấm tổ hợp phím nào?
Không câu nào đúng
F5
Ctrl + F5
Shift + F5",,,,,Đáp án:  a
205,"Câu 207: Vạch màu xanh khi click vào wmpiconfig.exe trong thư mục C:\Program Files\MPICH2\bin thể hiện điều gì?
MPICH2 đã sẵn sàng chạy chương trình
MPICH2 không thực hiện được
Chạy được chương trình khi không có màu xanh",,,,,Đáp án: a
206,"Câu 208: Vạch màu Nâu khi click vào wmpiconfig.exe trong thư mục C:\Program Files\MPICH2\bin thể hiện điều gì?
MPICH2 sẽ không chạy được chương trình
MPICH2  đã sẵn sàng chạy chương trình
Chạy được chương trình khi không có màu xanh",,,,,Đáp án: a
207,"Câu 209: Trong MPI có phần đính đường dẫn có file đuôi .lib, thì tên file đó là file nào?
MPICH2.lib
MPICH.lib
MPI.lib
INCLUDE.lib",,,,,Đáp án: a
208,"Câu 210: Chương trình wmpiexec.exe có nhiệm vụ gì?
Thực hiện các chương trình MPI theo các luồng khác nhau chương trình cả tuần tự và song song
Thực hiện chỉ đối với các chương trình song song
Thực hiện đối với chương trình tuần tự và chọn số luồng lớn hơn n
Tất cả đều sai",,,,,Đáp án: a
209,"Câu 211: Tại sao chúng ta phải đăng ký người sử dụng tại MPICH2?
Đăng ký để nhận biết người dùng tại máy và chạy được chương trình
Đăng ký để nhận biết người dùng ở xa để xử lý chạy chương trình gần
Đăng ký để nhận biết chương trình khi không chạy được
Đăng ký để nhận biết tính ngẫu nhiên của luồng",,,,,Đáp án: a
210,"Câu 212: Khi cài đặt và cấu hình MPICH2 chúng ta có tắt tường lửa không?
Có
Không",,,,,Đáp án: a
211,Câu 213: Chương trình MPICH2 muốn chạy được thì phải cài bộ công cụ nào?,a. Framework 2.0,b. Framework 1.0,c. MVC4,d. Explorer Internet,Đáp án: a
212,"Câu 214: Chương trình MPI nhằm giải quyết vấn đều nào trong thực tế?
Tính toán một số lượng dữ liệu lớn cần thời gian nhanh để thực hiện
Tính toán số lượng vừa đủ và có khả năng gỡ lỗi
Chỉ tính toán nhỏ trong phạm vi cục bộ
Ít áp dụng vào thực tế",,,,,Đáp án: a
213,"Câu 215: Chương trình MPI đa phần cài đặt và cấu hình sử dụng trên lệnh của?
Unix
Window
Dos
Chrome OS",,,,,Đáp án: a
214,"Câu 216: Điểm nổi bật của MPI xử lý thế nào?
Xử lý phân tán đa luồng
Xử lý không luồng, có dữ liệu lớn
Phân song song trên nhiều máy với số luồng cố định",,,,,Đáp án: a
215,Câu 217: Máy tính không phải hệ điều hành Window XP có chạy được chương trình MPI không:,a. Có,b. Không,,,Đáp án:  a
216,"Câu 218: Để viết chương trình MPI chúng ta sử dụng bộ công cụ nào?
Visual studio
Internet mannager
Notepad
Chỉ các tệp .cpp",,,,,Đáp án: a
217,"Câu 219:  MPI đa phần sử dụng mô hình nào để thực hiện tính toán
Gửi và nhận thông báo
Phân các luồng
Loại các luồng tuần tự
Nhận thông báo sau đó hủy và gửi đi thông báo khác",,,,,Đáp án: a
218,"Câu 220: Chúng ta tính toán tích phân thì MPI có thể xử lý được không?
Có
Không",,,,,Đáp án: a
219,Câu 221: Một chương trình C++ muốn dùng được lệnh MPI thì ta phải đính kèm dòng lệnh nào?,a.  #include <mpi.h>,b.  #include <mpich.h>,c.  #include <mpich2.h>,d..  #include <stdio.h>,Đáp án: a
220,Câu 222: MPI viết tắt của từ nào?,a.  Message-Passing Interface,b.  Message-Pass Interface,c.  Message-Passing Internet,d.  Message-Porting Interface,Đáp án: a
221,Câu 223: Chỉ có MPI mới là chương trình xử lý phân luồng duy nhất?,a. Không,b. Có,,,Đáp án: a
222,Câu 224: Nếu chương trình không phải là VC++6.0 thì chúng ta có cách nào chạy được MPI không?,a. Có thể sử dụng các bộ cung cụ khác của Microsoft,b. Không còn bộ công cụ nào,c. Cài trực tiếp MPICH2 và lập trình trên java,d. không đáp án đúng,Đáp án: a
223,Câu 225: Bạn hiểu thế nào về tính toán phân tán?,a. Là những tính toán được thực hiện trên cơ sở kết hợp khả năng tính toán và truyền thông của hai hay nhiều máy tính trên mạng.,b. Là những tính toán được thực hiện trên cơ sở kết hợp khả năng tính toán và truyền thông của một hay nhiều máy tính trên mạng.,c. Là những tính toán được thực hiện trên cơ sở kết hợp khả năng tính toán và truyền thông của nhiều hay nhiều máy tính chỉ trên mạng cục bộ.,d. Là những tính toán được thực hiện trên cơ sở kết hợp khả năng tính toán và truyền thông của hai hay nhiều chip trên mạng.,Đáp án:  a
224,"Câu 226: Mô hình tính toán phân tán có ưu điềm nào?
Chia sẻ dữ liệu trên nhiều máy khác nhau
Phân tán các con số trên nhiều máy và ngăn chặn tắc dữ liệu
Độ tin cậy đạt mực độ tương đối nhỏ
Tất cả đều đúng",,,,,Đáp án:  a
225,"Câu 227: Các đơn vị xử lý song song trong mô hình nhận và gửi thông báo là?
Các tiến trình
Các máy tính
Các bộ xung nhịp tiến trình
Các con chíp phân tán",,,,,Đáp án: a
226,"Câu 228: Buffer dùng để làm gì trong xử lý?
Để lưu trữ tạm các thông điệp cần trao đổi giữa các tiến trinh
Để lưu trữ dữ liệu
Để chuyển dữ liệu đi giữa các bộ tiến trình",,,,,Đáp án: a
227,"Câu 229: Hàm MPI_Init dùng để làm gì
Khởi tạo môi trường MPI
Kết thúc môi trường MPI
Khởi tạo và kết thúc xen lẫn nhau
Khởi tạo xong rùi mới kết thúc luôn",,,,,Đáp án: a
228,"Câu 229:  Biến rank  trả về cái gì?
Trả về số hiệu tiến trình
Trả về kích thước của luồng
Trả về tên luồng
Trả về luồng số 0",,,,,Đáp án: a
229,"Câu 230: Tham số msgtag  là gì
Số hiệu của thông báo
Số hiệu của tiến trình
Số hiệu của thời gian
Số hiệu của phân luồng",,,,,Đáp án: a
